star_id,Fe,Fe_err,C,C_err,O,O_err,raj2000,raj2000_err,decj2000,decj2000_err,x_pos,x_pos_err,y_pos,y_pos_err,z_pos,z_pos_err,dist,dist_err,disk,sptype,vmag,vmag_err,bv,bv_err,u_vel,u_vel_err,v_vel,v_vel_err,w_vel,w_vel_err,teff,teff_err,logg,logg_err,mass,mass_err,rad,rad_err,
*   1 Hya ,0.07 ,0.04 ,,,,,126.14589238 ,-1.25e-08/1.25e-08 ,-3.75124250 ,-8.89e-09/8.89e-09 ,-15.907 ,,21.777 ,,-1.768 ,,27.03 ,-0.2067/0.0775 ,thin ,F6V ,5.61 ,,0.478 ,,-54.70 ,,-44.00 ,,-2.50 ,,6458.0 ,,4.11 ,,1.28 ,-0.199/0.199 ,1.50 ,-0.0571/0.0571 ,
*   3 Cyg ,-0.32 ,0.04 ,,,,,291.35732483 ,-3.2e-09/3.2e-09 ,24.91277504 ,-5.4e-09/5.4e-09 ,9.345 ,,-23.897 ,,11.918 ,,28.29 ,-0.0297/0.0371 ,thin ,F8 ,6.19 ,,0.528 ,,70.60 ,,-43.90 ,,-18.40 ,,6211.0 ,,4.21 ,,1.14 ,-0.154/0.154 ,1.34 ,-0.0678/0.0678 ,
*   5 And ,-0.12 ,0.1 ,-0.05 ,0.06 ,0.16 ,0.2 ,346.93909812 ,-7.18e-09/7.18e-09 ,49.29577512 ,-7.62e-09/7.62e-09 ,21.846 ,,-5.068 ,,26.069 ,,34.39 ,-0.0651/0.1018 ,thin ,F4Vs ,5.68 ,,0.449 ,,-29.80 ,,-9.40 ,,10.20 ,,6407.0 ,,4.12 ,,1.34 ,-0.198/0.198 ,1.77 ,-0.0657/0.0657 ,
*   5 LMi ,0.15 ,0.12 ,0.05 ,0.09 ,0.16 ,0.09 ,132.63426174 ,-5.7e-09/5.7e-09 ,33.28505442 ,-3.81e-09/3.81e-09 ,-15.486 ,,16.820 ,,15.010 ,,27.35 ,-0.0182/0.019 ,thin ,F7Vs ,6.21 ,,0.549 ,,-7.90 ,,-11.30 ,,-5.50 ,,6218.0 ,,4.49 ,,1.21 ,-0.179/0.179 ,1.22 ,-0.0627/0.0627 ,
*   6 Cet ,-0.34 ,0.12 ,-0.31 ,0.16 ,-0.23 ,0.12 ,2.81607516 ,-2.63e-08/2.63e-08 ,-15.46797792 ,-1.93e-08/1.93e-08 ,18.185 ,,0.895 ,,-5.038 ,,18.89 ,-0.0361/0.0352 ,thin ,F8VFe-0.8CH-0.5 ,4.89 ,,0.487 ,,18.80 ,,-13.10 ,,-18.10 ,,6155.0 ,,4.09 ,,1.19 ,-0.17/0.17 ,1.50 ,-0.0572/0.0572 ,
*   7 And ,0.00 ,0.04 ,0.18 ,0.09 ,-0.02 ,0.09 ,348.13751463 ,-2.1e-08/2.1e-08 ,49.40620720 ,-2.14e-08/2.14e-08 ,15.891 ,,-3.338 ,,18.949 ,,24.95 ,-1.128/0.589 ,thin ,F1V ,4.52 ,,0.302 ,,-17.10 ,,8.40 ,,4.10 ,,7194.0 ,,4.16 ,,1.60 ,-0.276/0.276 ,1.73 ,-0.0708/0.0708 ,
*   9 Aur ,-0.34 ,0.04 ,,,,,76.66929418 ,-2.9e-08/2.9e-08 ,51.59772194 ,-2.18e-08/2.18e-08 ,3.862 ,,16.300 ,,21.133 ,,26.97 ,-0.187/0.164 ,thin ,F2V ,4.98 ,,0.343 ,,-6.80 ,,-13.70 ,,-15.90 ,,7200.0 ,,4.10 ,,1.55 ,-0.27/0.27 ,1.62 ,-0.0573/0.0573 ,
*   9 Cet ,0.17 ,0.14 ,0.11 ,0.12 ,0.06 ,0.1 ,5.71578523 ,-5.82e-09/5.82e-09 ,-12.20943609 ,-5.2e-09/5.2e-09 ,20.739 ,,2.076 ,,-4.510 ,,21.33 ,-0.0197/0.0271 ,thin ,G2.5V ,6.39 ,,0.659 ,,-36.60 ,,-14.90 ,,-0.30 ,,5774.0 ,,4.58 ,,1.04 ,-0.128/0.128 ,1.03 ,-0.0423/0.0423 ,
*   9 Com ,0.22 ,0.12 ,0.20 ,0.13 ,0.29 ,0.15 ,184.87302434 ,-5.36e-09/5.36e-09 ,28.15691793 ,-7.43e-09/7.43e-09 ,-41.945 ,,-3.576 ,,22.532 ,,47.75 ,-0.0599/0.0599 ,thin ,F8Va ,6.38 ,,0.523 ,,-28.70 ,,-53.40 ,,-15.30 ,,6239.0 ,,4.30 ,,1.20 ,-0.169/0.169 ,1.97 ,-0.0727/0.0727 ,
*   9 UMi ,-0.45 ,0.07 ,-0.33 ,0.09 ,0.03 ,0.07 ,225.11227867 ,-7.34e-08/7.34e-08 ,71.76545827 ,-6.78e-08/6.78e-08 ,-7.265 ,,-7.294 ,,31.248 ,,32.90 ,-4.54/1.36 ,thin ,G0 ,6.64 ,,0.631 ,,-35.30 ,,-74.50 ,,-9.40 ,,5753.0 ,,4.05 ,,1.03 ,-0.126/0.126 ,1.54 ,-0.0614/0.0614 ,
*  10 CVn ,-0.50 ,0.17 ,-0.43 ,0.09 ,-0.23 ,0.18 ,191.24752068 ,-5.46e-09/5.46e-09 ,39.27891615 ,-4.83e-09/4.83e-09 ,-13.257 ,,-2.636 ,,11.055 ,,17.46 ,-0.0412/0.0377 ,thick ,F9V_Fe-0.3 ,5.95 ,,0.557 ,,-41.70 ,,7.00 ,,75.40 ,,5911.0 ,,4.60 ,,1.08 ,-0.143/0.143 ,1.00 ,-0.0564/0.0564 ,
*  11 Aqr ,0.25 ,0.18 ,0.27 ,0.2 ,0.18 ,0.28 ,315.14100347 ,-5.8e-09/5.8e-09 ,-4.73025962 ,-3.81e-09/3.81e-09 ,19.068 ,,-18.974 ,,-2.226 ,,26.99 ,-0.022/0.0219 ,thin ,G1V ,6.19 ,,0.635 ,,-7.10 ,,-24.60 ,,-3.10 ,,6023.0 ,,4.35 ,,1.07 ,-0.125/0.125 ,1.38 ,-0.0568/0.0568 ,
