Teff,Teff_upper_err,Teff_lower_err,log_g,log_g_upper_err,log_g_lower_err,R,R_upper_err,R_lower_err,M_H,M_H_upper_err,M_H_lower_err,C_O,C_O_upper_err,C_O_lower_err
HD3651B,715.57,24.68,9.65,5.07,0.09,0.14,1.17,0.10,0.11,-0.04,0.08,0.07,0.98,0.11,0.11
WISE-J0040,885.44,18.84,17.82,4.66,0.34,0.34,0.97,0.10,0.09,-0.35,0.14,0.13,0.70,0.11,0.11
WISE-J0049,727.28,9.70,9.70,5.18,0.33,0.33,0.81,0.07,0.07,0.14,0.10,0.14,1.01,0.12,0.12
2MASS-J0050,945.64,12.09,12.09,5.26,0.19,0.19,0.75,0.07,0.05,0.10,0.11,0.12,0.98,0.11,0.10
WISE-PAJ0123,872.83,3.15,3.97,5.15,0.11,0.15,1.02,0.07,0.06,-0.31,0.09,0.08,0.80,0.07,0.06
WISE-J0223,787.96,4.11,6.09,5.23,0.18,0.33,0.81,0.09,0.10,-0.02,0.10,0.14,0.54,0.08,0.07
WISE-J0241,835.78,3.82,3.32,4.90,0.19,0.22,1.06,0.05,0.05,-0.36,0.09,0.09,0.82,0.07,0.07
PSO-J043,699.53,8.75,6.22,5.22,0.14,0.21,0.84,0.06,0.06,0.02,0.07,0.10,1.00,0.10,0.11
WISE-J0325,897.80,7.93,7.93,3.54,0.13,0.08,0.94,0.06,0.05,-0.69,0.14,0.07,0.47,0.09,0.05
2MASS-J0415,675.24,8.38,8.38,5.10,0.15,0.25,0.94,0.06,0.06,-0.02,0.07,0.10,0.96,0.09,0.10
WISE-PC10458,616.50,7.15,6.04,4.87,0.27,0.45,1.15,0.14,0.13,-0.05,0.18,0.21,0.53,0.10,0.08
UGPS-J0521,658.43,1.21,0.58,5.28,0.19,0.27,0.74,0.04,0.05,0.24,0.09,0.10,0.83,0.09,0.08
WISE-J0521,880.60,5.15,5.15,4.18,0.39,0.28,0.85,0.03,0.05,-0.27,0.18,0.10,0.63,0.09,0.08
WISE-J0614,897.89,4.22,6.09,4.93,0.12,0.20,1.22,0.09,0.09,-0.29,0.07,0.08,0.79,0.07,0.07
2MASS-J0727,953.07,1.34,1.30,5.23,0.17,0.20,0.76,0.05,0.04,0.05,0.10,0.10,0.65,0.07,0.06
2MASS-J0729,719.36,5.39,6.18,5.28,0.15,0.20,0.82,0.10,0.07,0.01,0.15,0.13,0.52,0.05,0.07
2MASS-J0939,631.72,5.33,6.67,4.85,0.29,0.33,1.01,0.06,0.06,-0.29,0.13,0.15,0.67,0.07,0.06
ULAS-J1029,690.39,5.46,5.46,4.99,0.17,0.29,1.04,0.05,0.09,-0.01,0.11,0.12,1.28,0.18,0.19
WISE-J1039,745.93,24.79,27.37,4.58,0.29,0.48,1.46,0.20,0.23,-0.33,0.19,0.22,1.03,0.28,0.21
WISE-J105257,768.40,13.94,9.82,4.36,0.40,0.38,1.04,0.07,0.07,-0.43,0.16,0.15,0.77,0.13,0.12
2MASS-J1114,617.46,5.48,5.78,4.97,0.22,0.40,1.01,0.11,0.11,-0.24,0.12,0.17,0.50,0.08,0.08
2MASS-J1217,775.64,37.09,17.75,4.82,0.17,0.28,1.30,0.15,0.12,-0.16,0.10,0.10,1.03,0.15,0.15
WISE-J1124,848.44,26.25,39.97,4.78,0.23,0.22,0.99,0.10,0.07,-0.25,0.12,0.11,0.83,0.07,0.08
WISE-J1254,875.62,6.77,23.50,3.81,0.46,0.28,0.95,0.26,0.11,-0.75,0.19,0.18,0.41,0.19,0.11
WISE-J1257,758.90,6.62,4.72,3.77,0.21,0.21,0.89,0.05,0.09,-0.67,0.19,0.13,0.48,0.10,0.09
ROSS458C,762.64,6.85,6.81,3.74,0.33,0.17,0.87,0.09,0.05,-0.20,0.14,0.09,0.51,0.12,0.07
WISE-J1322,775.78,7.01,10.53,3.87,0.77,0.48,1.17,0.33,0.22,-0.59,0.32,0.23,0.62,0.27,0.18
ULAS-J1416,616.23,1.90,3.07,5.12,0.19,0.46,0.93,0.07,0.06,-0.38,0.09,0.19,0.45,0.07,0.06
WISE-J1457,768.75,5.59,7.00,4.67,0.23,0.39,1.38,0.22,0.19,-0.44,0.12,0.16,0.83,0.15,0.15
Gliese 570D,789.90,4.05,4.75,5.14,0.16,0.29,0.95,0.09,0.11,-0.02,0.10,0.10,0.77,0.08,0.10
PSO-J224,892.88,8.55,25.81,3.64,0.25,0.14,0.91,0.07,0.06,-0.62,0.16,0.10,0.68,0.09,0.08
SDSS-1504,872.47,5.80,9.67,4.98,0.20,0.20,1.22,0.07,0.07,-0.32,0.07,0.09,0.91,0.08,0.08
2MASS-J1553,900.88,7.03,8.88,4.56,0.20,0.20,1.13,0.06,0.05,-0.27,0.09,0.09,0.58,0.05,0.06
SDSS-J16283,916.45,6.58,10.41,4.91,0.31,0.40,0.83,0.07,0.06,-0.11,0.14,0.16,0.73,0.13,0.10
WISE-J1653,687.22,15.06,12.52,4.87,0.28,0.44,1.03,0.15,0.13,-0.11,0.14,0.19,0.66,0.12,0.11
WISE-PAJ1711,805.55,7.76,13.09,4.80,0.27,0.43,1.17,0.23,0.15,-0.24,0.14,0.19,0.82,0.15,0.14
WISE-PAJ1741,646.58,4.28,4.58,4.64,0.18,0.13,0.84,0.03,0.04,-0.08,0.08,0.07,0.95,0.07,0.08
WISE-J1813,706.42,4.04,4.45,4.51,0.13,0.20,2.04,0.19,0.35,-0.19,0.09,0.08,1.02,0.14,0.23
WISEPA-J1852,915.71,14.64,5.53,5.12,0.22,0.28,0.80,0.10,0.05,0.06,0.13,0.16,0.93,0.16,0.12
WISE-PAJ1959,754.21,17.80,6.23,3.74,0.32,0.18,0.91,0.07,0.06,-0.53,0.11,0.08,0.58,0.11,0.07
WISE-J2000,753.40,3.29,3.34,4.76,0.39,0.27,0.90,0.06,0.05,-0.17,0.15,0.11,0.70,0.09,0.08
WISE-PCJ2157,792.95,12.10,9.11,5.22,0.15,0.25,0.83,0.05,0.05,-0.02,0.07,0.10,0.85,0.06,0.07
WISE-PCJ2209,809.34,5.18,4.03,5.00,0.21,0.30,0.90,0.05,0.04,-0.28,0.10,0.13,0.50,0.05,0.05
WISE-J2213,852.44,11.78,11.13,4.65,0.33,0.28,0.96,0.09,0.06,-0.36,0.12,0.11,0.63,0.12,0.08
WISE-J2226,868.13,18.55,13.44,5.27,0.18,0.27,0.78,0.09,0.06,0.16,0.11,0.14,0.82,0.14,0.10
WISE-J2255,720.23,3.48,7.03,5.22,0.15,0.23,0.89,0.11,0.10,0.16,0.11,0.11,1.04,0.17,0.15
WISE-J2319,714.16,5.82,2.84,4.87,0.59,0.64,0.62,0.09,0.07,-0.24,0.26,0.28,0.74,0.15,0.13
ULAS-J2321,750.05,8.29,8.48,5.23,0.11,0.17,0.90,0.06,0.07,0.13,0.07,0.08,1.12,0.11,0.11
WISE-J2340,904.21,5.96,5.98,4.72,0.17,0.23,1.47,0.14,0.11,-0.40,0.10,0.11,0.78,0.09,0.08
WISE-J2348,921.60,1.08,9.23,4.94,0.29,0.32,0.77,0.20,0.07,-0.07,0.17,0.16,0.87,0.23,0.13
